"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","04.124 - Controle Interno",2019,4032933.86,4907584.56,30.04,130.04
"Acre","04.124 - Controle Interno",2020,21124,24594.27,-99.5,0.65
"Acre","04.124 - Controle Interno",2021,15654,16559.6,-32.67,0.44
"Acre","04.124 - Controle Interno",2022,6422860.91,6422860.91,38686.33,170.19
"Acre","04.125 - Normatização e Fiscalização",2022,86063561.65,86063561.65,NA,100
"Acre","04.126 - Tecnologia da Informação",2018,9970597.43,12655455.94,NA,100
"Acre","04.126 - Tecnologia da Informação",2019,6860694.84,8348621.94,-34.03,65.97
"Acre","04.128 - Formação de Recursos Humanos",2018,1039687.81,1319652.44,NA,100
"Acre","04.128 - Formação de Recursos Humanos",2019,65754.14,80014.7,-93.94,6.06
"Acre","04.128 - Formação de Recursos Humanos",2021,575679.83,608983.44,661.09,46.15
"Acre","04.128 - Formação de Recursos Humanos",2022,1196456.14,1196456.14,96.47,90.66
"Acre","04.129 - Administração de Receitas",2018,67324502.66,85453482.9,NA,100
"Acre","04.129 - Administração de Receitas",2019,81090938.18,98677699.72,15.48,115.48
"Acre","04.129 - Administração de Receitas",2020,3936626.98,4583340.5,-95.36,5.36
"Acre","04.129 - Administração de Receitas",2021,11448523.59,12110831.32,164.24,14.17
"Acre","04.129 - Administração de Receitas",2022,3512501.35,3512501.35,-71,4.11
"Acre","04.130 - Administração de Concessões",2018,77827.6,98784.83,NA,100
"Acre","04.130 - Administração de Concessões",2019,15000,18253.16,-81.52,18.48
"Acre","04.131 - Comunicação Social",2022,14698890.06,14698890.06,NA,100
"Acre","06 - Segurança Pública",2018,579819877.47,735952380.31,NA,100
"Acre","06 - Segurança Pública",2019,660178009.42,803355453.03,9.16,109.16
"Acre","06 - Segurança Pública",2020,481239719.07,560298323.17,-30.26,76.13
"Acre","06 - Segurança Pública",2021,542440176.63,573820844.82,2.41,77.97
"Acre","06 - Segurança Pública",2022,929907362.4,929907362.4,62.06,126.35
"Acre","06.122 - Administração Geral",2018,113396098.35,143931127.13,NA,100
"Acre","06.122 - Administração Geral",2019,139917064.08,170261860.89,18.29,118.29
"Acre","06.122 - Administração Geral",2020,480765048.64,559745673.35,228.76,388.9
"Acre","06.122 - Administração Geral",2021,283534770.89,299937520.81,-46.42,208.39
"Acre","06.122 - Administração Geral",2022,16188217.98,16188217.98,-94.6,11.25
"Acre","06.181 - Policiamento",2018,350422372.01,444783266,NA,100
"Acre","06.181 - Policiamento",2019,406111043.43,494187198.94,11.11,111.11
"Acre","06.181 - Policiamento",2021,248760664.96,263151700.55,-46.75,59.16
"Acre","06.181 - Policiamento",2022,346799224.06,346799224.06,31.79,77.97
"Acre","06.182 - Defesa Civil",2018,53716294.4,68180889.03,NA,100
"Acre","06.182 - Defesa Civil",2019,61971233.31,75411370.12,10.6,110.6
"Acre","06.182 - Defesa Civil",2021,1394378.53,1475044.62,-98.04,2.16
"Acre","06.182 - Defesa Civil",2022,63314575.8,63314575.8,4192.38,92.86
"Acre","06.183 - Informação e Inteligência",2020,999.6,1163.82,NA,100
"Acre","06.183 - Informação e Inteligência",2021,7449896.25,7880879.67,677058.9,677158.9
"Acre","06.183 - Informação e Inteligência",2022,280386128.59,280386128.59,3457.8,24091975.82
"Acre","08 - Assistência Social",2018,37060517.5,47040084.57,NA,100
