"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Bahia","Deduções - FUNDEB",2020,5685942185.3,6620035183.75,-2.99,99
"Bahia","Deduções - FUNDEB",2021,7292024592.35,7713874989.88,16.52,115.36
"Bahia","Deduções - FUNDEB",2022,8165451081.33,8165451081.33,5.85,122.11
"Bahia","Deduções - Transferências Constitucionais",2018,152814120.69,193963539.78,NA,100
"Bahia","Deduções - Transferências Constitucionais",2019,2718446.55,3308015.15,-98.29,1.71
"Bahia","Outras Deduções da Receita",2018,37249469.53,47279917.15,NA,100
"Bahia","Outras Deduções da Receita",2019,150642230.24,183313069.19,287.72,387.72
"Bahia","Outras Deduções da Receita",2020,168178401.58,195806939.17,6.82,414.14
"Bahia","Outras Deduções da Receita",2021,27716328.47,29319743.82,-85.03,62.01
"Bahia","Outras Deduções da Receita",2022,38989721.63,38989721.63,32.98,82.47
"Bahia","Receitas Brutas Realizadas",2018,51335557608.27,65159073161.08,NA,100
"Bahia","Receitas Brutas Realizadas",2019,54659727594.4,66514166781.94,2.08,102.08
"Bahia","Receitas Brutas Realizadas",2020,57034659881.58,66404378167.2,-0.17,101.91
"Bahia","Receitas Brutas Realizadas",2021,68015088407.43,71949824463.18,8.35,110.42
"Bahia","Receitas Brutas Realizadas",2022,79871450541.22,79871450541.22,11.01,122.58
"Ceará","Deduções - FUNDEB",2018,3158729794.44,4009304960.56,NA,100
"Ceará","Deduções - FUNDEB",2019,3529511056.6,4294980919.4,7.13,107.13
"Ceará","Deduções - FUNDEB",2020,3371339927.1,3925187454.68,-8.61,97.9
"Ceará","Deduções - FUNDEB",2021,4386679038.72,4640452496.68,18.22,115.74
"Ceará","Deduções - FUNDEB",2022,5030586963.26,5030586963.26,8.41,125.47
"Ceará","Deduções - Transferências Constitucionais",2018,3341736536.31,4241591317.97,NA,100
"Ceará","Deduções - Transferências Constitucionais",2019,3658217130.54,4451600383.94,4.95,104.95
"Ceará","Deduções - Transferências Constitucionais",2022,4867306106.57,4867306106.57,9.34,114.75
"Ceará","Outras Deduções da Receita",2018,49100680.74,62322394.02,NA,100
"Ceará","Outras Deduções da Receita",2019,264831597.89,322267487.35,417.1,517.1
"Ceará","Outras Deduções da Receita",2020,236898146.76,275816041.64,-14.41,442.56
"Ceará","Outras Deduções da Receita",2021,351865546.91,372221295.71,34.95,597.25
"Ceará","Outras Deduções da Receita",2022,373134903.78,373134903.78,0.25,598.72
"Ceará","Receitas Brutas Realizadas",2018,29507676159.83,37453432265.87,NA,100
"Ceará","Receitas Brutas Realizadas",2019,32602069203.71,39672709028.91,5.93,105.93
"Ceará","Receitas Brutas Realizadas",2020,33613188774.69,39135201357.11,-1.35,104.49
"Ceará","Receitas Brutas Realizadas",2021,38934897995.75,41187318018.4,5.24,109.97
"Ceará","Receitas Brutas Realizadas",2022,45213878745.27,45213878745.27,9.78,120.72
"Distrito Federal","Deduções - FUNDEB",2018,2476036311.59,3142777417.7,NA,100
"Distrito Federal","Deduções - FUNDEB",2019,2129032490.69,2590770726.5,-17.56,82.44
"Distrito Federal","Deduções - FUNDEB",2020,2374874143.49,2765021147.69,6.73,87.98
"Distrito Federal","Deduções - FUNDEB",2021,2525697854.16,2671811821.6,-3.37,85.01
"Distrito Federal","Deduções - FUNDEB",2022,2933586076.39,2933586076.39,9.8,93.34
"Distrito Federal","Outras Deduções da Receita",2018,128373638.05,162941782.72,NA,100
"Distrito Federal","Outras Deduções da Receita",2019,133426664.98,162363843.33,-0.35,99.65
"Distrito Federal","Outras Deduções da Receita",2020,132134217.64,153841376.02,-5.25,94.41
"Distrito Federal","Outras Deduções da Receita",2021,90793600.68,96046094.83,-37.57,58.95
"Distrito Federal","Outras Deduções da Receita",2022,120632985.08,120632985.08,25.6,74.03
"Distrito Federal","Receitas Brutas Realizadas",2018,27377804056,34750033321.68,NA,100
"Distrito Federal","Receitas Brutas Realizadas",2019,27390260443.52,33330578682.35,-4.08,95.92
"Distrito Federal","Receitas Brutas Realizadas",2020,29301912592.95,34115663859.21,2.36,98.17
"Distrito Federal","Receitas Brutas Realizadas",2021,33442471153.5,35377149180.42,3.7,101.8
"Distrito Federal","Receitas Brutas Realizadas",2022,36925201302.35,36925201302.35,4.38,106.26
"Espírito Santo","Deduções - FUNDEB",2018,1928214937.35,2447440020.65,NA,100
"Espírito Santo","Deduções - FUNDEB",2019,2132526966.96,2595023074.39,6.03,106.03
"Espírito Santo","Deduções - FUNDEB",2020,2196616888.4,2557479589.58,-1.45,104.5
"Espírito Santo","Deduções - FUNDEB",2021,2844149215.37,3008685889.92,17.64,122.93
"Espírito Santo","Deduções - FUNDEB",2022,3182705412.47,3182705412.47,5.78,130.04
"Espírito Santo","Deduções - Transferências Constitucionais",2018,3017075068.64,3829505790.71,NA,100
"Espírito Santo","Deduções - Transferências Constitucionais",2019,3318222771.82,4037869059.69,5.44,105.44
"Espírito Santo","Deduções - Transferências Constitucionais",2020,3422549622.89,3984809937.09,-1.31,104.06
"Espírito Santo","Deduções - Transferências Constitucionais",2021,4352139255.31,4603914554.71,15.54,120.22
"Espírito Santo","Deduções - Transferências Constitucionais",2022,4761922962.29,4761922962.29,3.43,124.35
"Espírito Santo","Outras Deduções da Receita",2018,63395053.99,80465921.74,NA,100
"Espírito Santo","Outras Deduções da Receita",2019,51422109.16,62574383.29,-22.23,77.77
"Espírito Santo","Outras Deduções da Receita",2020,146891179.7,171022628.46,173.31,212.54
"Espírito Santo","Outras Deduções da Receita",2021,137431890.37,145382452.91,-14.99,180.68
"Espírito Santo","Outras Deduções da Receita",2022,25649131.77,25649131.77,-82.36,31.88
"Espírito Santo","Receitas Brutas Realizadas",2018,21606462910.08,27424599305.09,NA,100
"Espírito Santo","Receitas Brutas Realizadas",2019,24967330751.62,30382171203.56,10.78,110.78
"Espírito Santo","Receitas Brutas Realizadas",2020,24526368061.9,28555587483.68,-6.01,104.12
"Espírito Santo","Receitas Brutas Realizadas",2021,27398761334,28983805132.78,1.5,105.69
"Espírito Santo","Receitas Brutas Realizadas",2022,31992142105.37,31992142105.37,10.38,116.65
"Goiás","Deduções - FUNDEB",2018,2977684709.72,3779508490.62,NA,100
"Goiás","Deduções - FUNDEB",2019,3182091148.08,3872213614.19,2.45,102.45
"Goiás","Deduções - FUNDEB",2020,3725292411.27,4337287652.37,12.01,114.76
"Goiás","Deduções - FUNDEB",2021,4643920355.6,4912575462.74,13.26,129.98
"Goiás","Deduções - FUNDEB",2022,5107432935.38,5107432935.38,3.97,135.13
"Goiás","Deduções - Transferências Constitucionais",2018,4467796319.28,5670873772.49,NA,100
"Goiás","Deduções - Transferências Constitucionais",2019,4821931180.41,5867697276.59,3.47,103.47
"Goiás","Deduções - Transferências Constitucionais",2020,5039920086.11,5867883845.11,0,103.47
"Goiás","Deduções - Transferências Constitucionais",2021,6414564956.55,6785653498.92,15.64,119.66
"Goiás","Deduções - Transferências Constitucionais",2022,7107399388.25,7107399388.25,4.74,125.33
"Goiás","Outras Deduções da Receita",2018,9228646797.64,11713714623.57,NA,100
"Goiás","Outras Deduções da Receita",2019,9297538364.02,11313960837.76,-3.41,96.59
"Goiás","Outras Deduções da Receita",2020,10381146587.08,12086573062.92,6.83,103.18
"Goiás","Outras Deduções da Receita",2021,2597735148.24,2748016540.07,-77.26,23.46
"Goiás","Outras Deduções da Receita",2022,2947096313.14,2947096313.14,7.24,25.16
"Goiás","Receitas Brutas Realizadas",2018,41139966678.38,52218038013.66,NA,100
"Goiás","Receitas Brutas Realizadas",2019,47298677566.31,57556674112.17,10.22,110.22
"Goiás","Receitas Brutas Realizadas",2020,48610259970.72,56596008332.54,-1.67,108.38
"Goiás","Receitas Brutas Realizadas",2021,48502442507.53,51308353869.19,-9.34,98.26
"Goiás","Receitas Brutas Realizadas",2022,58661440097.89,58661440097.89,14.33,112.34
"Maranhão","Deduções - FUNDEB",2018,2339952394.64,2970049150.71,NA,100
"Maranhão","Deduções - FUNDEB",2019,2546640938.05,3098948852.14,4.34,104.34
"Maranhão","Deduções - FUNDEB",2020,2519070598.1,2932906358.58,-5.36,98.75
"Maranhão","Deduções - FUNDEB",2021,3294660374.85,3485259538.53,18.83,117.35
"Maranhão","Deduções - FUNDEB",2022,4056978912.56,4056978912.56,16.4,136.6
"Maranhão","Deduções - Transferências Constitucionais",2018,1843084367.84,2339385696.02,NA,100
"Maranhão","Deduções - Transferências Constitucionais",2019,2032660369.66,2473497706.43,5.73,105.73
"Maranhão","Deduções - Transferências Constitucionais",2020,2103602782.79,2449185021.74,-0.98,104.69
"Maranhão","Deduções - Transferências Constitucionais",2021,2540846821.92,2687837171.22,9.74,114.89
"Maranhão","Deduções - Transferências Constitucionais",2022,3081003768.53,3081003768.53,14.63,131.7
"Maranhão","Outras Deduções da Receita",2018,4480344,5686800.26,NA,100
"Maranhão","Outras Deduções da Receita",2019,3183399.68,3873805.94,-31.88,68.12
"Maranhão","Outras Deduções da Receita",2020,2256005.89,2626625.08,-32.2,46.19
"Maranhão","Outras Deduções da Receita",2021,4703917.84,4976043.86,89.45,87.5
"Maranhão","Outras Deduções da Receita",2022,6624266.94,6624266.94,33.12,116.48
"Maranhão","Receitas Brutas Realizadas",2018,19922643701.33,25287365307.35,NA,100
"Maranhão","Receitas Brutas Realizadas",2019,21218318539.68,25820084370.95,2.11,102.11
"Maranhão","Receitas Brutas Realizadas",2020,22863162202.67,26619148289.06,3.09,105.27
"Maranhão","Receitas Brutas Realizadas",2021,26024908470.52,27530473604.73,3.42,108.87
"Maranhão","Receitas Brutas Realizadas",2022,31570291647.36,31570291647.36,14.67,124.85
"Mato Grosso","Deduções - FUNDEB",2018,2092201949.41,2655585061.13,NA,100
"Mato Grosso","Deduções - FUNDEB",2019,2265440564.89,2756762578.22,3.81,103.81
"Mato Grosso","Deduções - FUNDEB",2020,2469002328.58,2874612817.24,4.27,108.25
"Mato Grosso","Deduções - FUNDEB",2021,3527831122.44,3731919430.51,29.82,140.53
"Mato Grosso","Deduções - FUNDEB",2022,3865073487.39,3865073487.39,3.57,145.55
"Mato Grosso","Deduções - Transferências Constitucionais",2018,3200125262.74,4061847301.06,NA,100
"Mato Grosso","Deduções - Transferências Constitucionais",2019,3471896234.5,4224870766,4.01,104.01
"Mato Grosso","Deduções - Transferências Constitucionais",2020,3849255527.74,4481615569.5,6.08,110.33
"Mato Grosso","Deduções - Transferências Constitucionais",2021,5409653008.42,5722606460.95,27.69,140.89
"Mato Grosso","Deduções - Transferências Constitucionais",2022,5877415325.49,5877415325.49,2.71,144.7
"Mato Grosso","Outras Deduções da Receita",2018,2948503380.39,3742469283.08,NA,100
"Mato Grosso","Outras Deduções da Receita",2019,3424334416.74,4166993882.63,11.34,111.34
"Mato Grosso","Outras Deduções da Receita",2020,4517219366.11,5259313260.99,26.21,140.53
"Mato Grosso","Outras Deduções da Receita",2021,9507535707.64,10057555481.58,91.23,268.74
"Mato Grosso","Outras Deduções da Receita",2022,11662035346.5,11662035346.5,15.95,311.61
"Mato Grosso","Receitas Brutas Realizadas",2018,26363581874.88,33462703829.61,NA,100
"Mato Grosso","Receitas Brutas Realizadas",2019,29907585842.58,36393854128.58,8.76,108.76
"Mato Grosso","Receitas Brutas Realizadas",2020,34655106516.9,40348286521.75,10.87,120.58
"Mato Grosso","Receitas Brutas Realizadas",2021,47040078092.74,49761390314.35,23.33,148.71
"Mato Grosso","Receitas Brutas Realizadas",2022,55204698353.23,55204698353.23,10.94,164.97
"Mato Grosso do Sul","Deduções - FUNDEB",2018,1646045712.8,2089288945.59,NA,100
"Mato Grosso do Sul","Deduções - FUNDEB",2019,1759780232.4,2141436136.42,2.5,102.5
"Mato Grosso do Sul","Deduções - FUNDEB",2020,1926673620.52,2243189737.04,4.75,107.37
"Mato Grosso do Sul","Deduções - FUNDEB",2021,2442365880.99,2583659016.36,15.18,123.66
"Mato Grosso do Sul","Deduções - FUNDEB",2022,2742356320.03,2742356320.03,6.14,131.26
"Mato Grosso do Sul","Deduções - Transferências Constitucionais",2018,2482796510.69,3151357986.96,NA,100
"Mato Grosso do Sul","Deduções - Transferências Constitucionais",2019,2645297181.26,3219001368.02,2.15,102.15
"Mato Grosso do Sul","Deduções - Transferências Constitucionais",2020,2945813630.9,3429755218.36,6.55,108.83
"Mato Grosso do Sul","Deduções - Transferências Constitucionais",2021,3627596604.59,3837456438.49,11.89,121.77
"Mato Grosso do Sul","Deduções - Transferências Constitucionais",2022,4007290482.09,4007290482.09,4.43,127.16
"Mato Grosso do Sul","Outras Deduções da Receita",2020,347451.39,404531.1,NA,100
"Mato Grosso do Sul","Outras Deduções da Receita",2021,4943080.92,5229042.74,1192.62,1292.62
"Mato Grosso do Sul","Outras Deduções da Receita",2022,31285773.82,31285773.82,498.31,7733.84
"Mato Grosso do Sul","Receitas Brutas Realizadas",2018,19052344519.8,24182714054.24,NA,100
"Mato Grosso do Sul","Receitas Brutas Realizadas",2019,19523199914.74,23757333459.15,-1.76,98.24
